NOC;Year;Season;Sport;Medallas_Cant;Temp_prom
CHN;2012;Summer;Taekwondo;3;11
CHN;2004;Summer;Archery;3;11
RSA;2016;Summer;Swimming;3;18
RSA;2012;Summer;Swimming;3;18
CHN;2012;Summer;Boxing;3;11
CHN;2010;Winter;Freestyle Skiing;3;11
PRK;2008;Summer;Judo;3;6
CHN;2008;Summer;Wrestling;3;11
CHN;2008;Summer;Trampolining;3;11
RSA;2000;Summer;Athletics;3;18
POL;2016;Summer;Canoeing;3;8
RUS;2010;Winter;Figure Skating;3;-5
CAN;2002;Winter;Speed Skating;3;-5
CAN;2016;Summer;Diving;3;-5
RUS;2016;Summer;Judo;3;-5
RUS;2016;Summer;Archery;3;-5
CUB;2004;Summer;Wrestling;3;25
RUS;2012;Summer;Tennis;3;-5
NOR;2014;Winter;Alpine Skiing;3;2
RUS;2012;Summer;Diving;3;-5
POL;2004;Summer;Swimming;3;8
CUB;2000;Summer;Canoeing;3;25
CUB;2016;Summer;Wrestling;3;25
CRO;2016;Summer;Sailing;3;11
CRO;2016;Summer;Rowing;3;11
RUS;2008;Summer;Tennis;3;-5
CRO;2016;Summer;Athletics;3;11
NZL;2016;Summer;Canoeing;3;11
NZL;2016;Summer;Cycling;3;11
RUS;2008;Summer;Boxing;3;-5
CRO;2006;Winter;Alpine Skiing;3;11
CUB;2000;Summer;Fencing;3;25
BLR;2016;Summer;Wrestling;3;6
KOR;2016;Summer;Judo;3;12
KOR;2012;Summer;Table Tennis;3;12
FRA;2008;Summer;Archery;3;11
FRA;2000;Summer;Canoeing;3;11
KAZ;2004;Summer;Wrestling;3;6
FRA;2008;Summer;Boxing;3;11
KOR;2004;Summer;Shooting;3;12
KAZ;2016;Summer;Wrestling;3;6
KOR;2004;Summer;Judo;3;12
KOR;2012;Summer;Judo;3;12
SVK;2010;Winter;Biathlon;3;7
BRA;2016;Summer;Judo;3;25
SVK;2012;Summer;Canoeing;3;7
BRA;2016;Summer;Gymnastics;3;25
BRA;2000;Summer;Sailing;3;25
KAZ;2012;Summer;Wrestling;3;6
BRA;2004;Summer;Sailing;3;25
BRA;2008;Summer;Judo;3;25
ROU;2004;Summer;Athletics;3;9
FRA;2004;Summer;Sailing;3;11
BRA;2012;Summer;Boxing;3;25
SWE;2012;Summer;Sailing;3;19
KAZ;2004;Summer;Boxing;3;6
FRA;2004;Summer;Canoeing;3;11
POL;2016;Summer;Athletics;3;8
FRA;2002;Winter;Snowboarding;3;11
KOR;2008;Summer;Weightlifting;3;12
FRA;2008;Summer;Canoeing;3;11
FRA;2010;Winter;Snowboarding;3;11
CHN;2002;Winter;Figure Skating;2;11
CRO;2008;Summer;Taekwondo;2;11
CRO;2004;Summer;Tennis;2;11
CRO;2010;Winter;Alpine Skiing;2;11
BLR;2004;Summer;Boxing;2;6
GER;2004;Summer;Tennis;2;9
BLR;2004;Summer;Canoeing;2;6
CRO;2004;Summer;Rowing;2;11
GER;2004;Summer;Trampolining;2;9
CHN;2004;Summer;Athletics;2;11
FRA;2008;Summer;Athletics;2;11
BLR;2000;Summer;Weightlifting;2;6
CAN;2016;Summer;Rowing;2;-5
CZE;2002;Winter;Cross Country Skiing;2;4
GER;2000;Summer;Weightlifting;2;9
CZE;2000;Summer;Shooting;2;4
CZE;2000;Summer;Athletics;2;4
BEL;2000;Summer;Judo;2;10
CUB;2012;Summer;Wrestling;2;25
AUS;2000;Summer;Tennis;2;22
AUS;2000;Summer;Taekwondo;2;22
BEL;2000;Summer;Tennis;2;10
BRA;2004;Summer;Judo;2;25
FRA;2014;Winter;Snowboarding;2;11
FRA;2014;Winter;Alpine Skiing;2;11
CUB;2004;Summer;Canoeing;2;25
BEL;2016;Summer;Cycling;2;10
GER;2004;Summer;Athletics;2;9
FRA;2004;Summer;Taekwondo;2;11
GER;2004;Summer;Boxing;2;9
CUB;2000;Summer;Taekwondo;2;25
FRA;2004;Summer;Wrestling;2;11
CRC;2000;Summer;Swimming;2;25
FRA;2006;Winter;Alpine Skiing;2;11
GER;2004;Summer;Diving;2;9
